index,title,artist,top genre,year
115,Try,P!nk,dance pop,2012
116,Starships,Nicki Minaj,dance pop,2012
117,One More Night,Maroon 5,pop,2012
118,Good Time,Owl City,pop,2012
119,Glad You Came,The Wanted,boy band,2012
120,Beauty And A Beat,Justin Bieber,canadian pop,2012
121,International Love,Pitbull,dance pop,2012
122,Some Nights,fun.,baroque pop,2012
123,Boyfriend,Justin Bieber,canadian pop,2012
124,Part Of Me,Katy Perry,dance pop,2012
125,Domino,Jessie J,australian pop,2012
126,Where Have You Been,Rihanna,barbadian pop,2012
127,Wide Awake,Katy Perry,dance pop,2012
128,The One That Got Away,Katy Perry,dance pop,2012
129,Dance Again,Jennifer Lopez,dance pop,2012
130,Turn Up the Music,Chris Brown,dance pop,2012
131,Lights - Single Version,Ellie Goulding,dance pop,2012
132,We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012
133,Diamonds,Rihanna,barbadian pop,2012
134,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012
135,You Da One,Rihanna,barbadian pop,2012
136,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012
137,It Will Rain,Bruno Mars,pop,2012
138,Blow Me (One Last Kiss),P!nk,dance pop,2012
139,Underneath the Tree,Kelly Clarkson,dance pop,2013
140,Wake Me Up,Avicii,big room,2013
141,Story of My Life,One Direction,boy band,2013
142,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013
143,Hall of Fame,The Script,celtic rock,2013
144,Roar,Katy Perry,dance pop,2013
145,We Can't Stop,Miley Cyrus,dance pop,2013
146,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013
147,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013
148,Wrecking Ball,Miley Cyrus,dance pop,2013
149,Impossible,James Arthur,pop,2013
150,Blurred Lines,Robin Thicke,dance pop,2013
151,Heart Attack,Demi Lovato,dance pop,2013
152,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013
153,Die Young,Kesha,dance pop,2013
154,Clarity,Zedd,complextro,2013
155,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013
156,Under Control,Calvin Harris,dance pop,2013
157,Everybody Talks,Neon Trees,indie pop,2013
158,"Hold On, We're Going Home",Drake,canadian hip hop,2013
159,Best Song Ever,One Direction,boy band,2013
160,Kiss You,One Direction,boy band,2013
161,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013
162,Lose Yourself to Dance,Daft Punk,electro,2013
163,Work Bitch,Britney Spears,dance pop,2013
164,Brave,Sara Bareilles,acoustic pop,2013
165,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013
166,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013
167,Beneath Your Beautiful,Labrinth,pop,2013
168,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013
