index,title,artist,top genre,year
509,Havana (feat. Young Thug),Camila Cabello,dance pop,2018
510,I Like It,Cardi B,pop,2018
511,New Rules,Dua Lipa,dance pop,2018
512,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018
513,no tears left to cry,Ariana Grande,dance pop,2018
514,IDGAF,Dua Lipa,dance pop,2018
515,In My Blood,Shawn Mendes,canadian pop,2018
516,Wolves,Selena Gomez,dance pop,2018
517,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018
518,Attention,Charlie Puth,dance pop,2018
519,Electricity (with Dua Lipa),Silk City,edm,2018
520,Love On The Brain,Rihanna,barbadian pop,2018
521,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018
522,Silence,Marshmello,brostep,2018
523,Sorry Not Sorry,Demi Lovato,dance pop,2018
524,Shallow - Radio Edit,Lady Gaga,dance pop,2018
525,These Days,Rudimental,dance pop,2018
526,What Lovers Do (feat. SZA),Maroon 5,pop,2018
527,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018
528,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018
529,Bad At Love,Halsey,dance pop,2018
530,Him & I (with Halsey),G-Eazy,hip hop,2018
531,Friends (with BloodPop®),Justin Bieber,canadian pop,2018
532,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018
533,My My My!,Troye Sivan,dance pop,2018
534,Capital Letters,Hailee Steinfeld,dance pop,2018
535,Sick Boy,The Chainsmokers,electropop,2018
536,Tequila,Dan + Shay,contemporary country,2018
537,Look What You Made Me Do,Taylor Swift,pop,2018
538,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018
539,Bad Liar,Selena Gomez,dance pop,2018
540,Anywhere,Rita Ora,dance pop,2018
541,Say Something,Justin Timberlake,dance pop,2018
542,Chun-Li,Nicki Minaj,dance pop,2018
543,Sign of the Times,Harry Styles,dance pop,2018
544,Familiar,Liam Payne,dance pop,2018
545,Let Me,ZAYN,dance pop,2018
546,Supernova,Ansel Elgort,dance pop,2018
547,Nervous,Shawn Mendes,canadian pop,2018
548,First Time,Kygo,edm,2018
549,End Game,Taylor Swift,pop,2018
550,Mi Gente (feat. Beyoncé),J Balvin,latin,2018
551,Lemon,N.E.R.D,hip hop,2018
552,For You (With Rita Ora),Liam Payne,dance pop,2018
553,Want To,Dua Lipa,dance pop,2018
554,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018
555,Wait,Maroon 5,pop,2018
556,What About Us,P!nk,dance pop,2018
557,Kissing Strangers,DNCE,dance pop,2018
558,2U (feat. Justin Bieber),David Guetta,dance pop,2018
559,Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018
560,This Town,Niall Horan,dance pop,2018
561,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018
562,MOVE TO MIAMI,Enrique Iglesias,dance pop,2018
563,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018
564,Filthy,Justin Timberlake,dance pop,2018
565,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018
566,Ferrari,Bebe Rexha,dance pop,2018
567,Supplies,Justin Timberlake,dance pop,2018
568,Boom Boom,RedOne,moroccan pop,2018
569,...Ready For It? - BloodPop® Remix,Taylor Swift,pop,2018
570,Drip (feat. Migos),Cardi B,pop,2018
571,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018
572,Memories,Maroon 5,pop,2019
573,Lose You To Love Me,Selena Gomez,dance pop,2019
574,Someone You Loved,Lewis Capaldi,pop,2019
575,Señorita,Shawn Mendes,canadian pop,2019
576,How Do You Sleep?,Sam Smith,pop,2019
577,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019
578,Trampoline (with ZAYN),SHAED,electropop,2019
579,Happier,Marshmello,brostep,2019
580,Truth Hurts,Lizzo,escape room,2019
581,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019
582,Higher Love,Kygo,edm,2019
583,Only Human,Jonas Brothers,boy band,2019
584,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019
585,Sucker,Jonas Brothers,boy band,2019
586,Don't Call Me Up,Mabel,dance pop,2019
587,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019
588,Talk (feat. Disclosure),Khalid,alternative r&b,2019
589,Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019
590,Takeaway,The Chainsmokers,electropop,2019
591,All Around The World (La La La),R3HAB,big room,2019
592,Girls Like You (feat. Cardi B),Maroon 5,pop,2019
593,Call You Mine,The Chainsmokers,electropop,2019
594,No Guidance (feat. Drake),Chris Brown,dance pop,2019
595,Antisocial (with Travis Scott),Ed Sheeran,pop,2019
596,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019
597,Con Calma - Remix,Daddy Yankee,latin,2019
598,Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019
599,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019
600,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019
601,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019
602,Kills You Slowly,The Chainsmokers,electropop,2019
